# x, y
1.746312230825424194e-01 3.088311254978179932e-01 3.327128887176513672e-01 3.721889853477478027e-01
1.344143897294998169e-01 8.431684691458940506e-04 4.821565449237823486e-01 1.083907205611467361e-03
3.132509887218475342e-01 5.472085475921630859e-01 5.405565500259399414e-01 8.169595599174499512e-01
5.528867244720458984e-01 9.703731536865234375e-01 8.702887296676635742e-01 3.632673248648643494e-02
1.935648731887340546e-03 4.361452758312225342e-01 4.376006126403808594e-01 5.844901315867900848e-03
7.755411267280578613e-01 4.730053246021270752e-01 2.855932712554931641e-01 5.047732591629028320e-01
2.109179347753524780e-01 3.216218352317810059e-01 6.956330686807632446e-02 1.129743009805679321e-01
9.407946467399597168e-01 5.096012353897094727e-01 7.244886159896850586e-01 1.407494097948074341e-01
7.790207862854003906e-01 3.236514031887054443e-01 6.686840057373046875e-01 4.694626629352569580e-01
9.601145982742309570e-01 6.473659276962280273e-01 2.911421358585357666e-01 8.860059827566146851e-02
9.362060576677322388e-02 9.131146669387817383e-01 2.895392775535583496e-01 6.168157607316970825e-02
1.498333662748336792e-01 5.821740627288818359e-01 5.681321024894714355e-01 4.284887015819549561e-01
7.765016555786132812e-01 4.967588484287261963e-01 1.942566037178039551e-01 3.701148927211761475e-01
4.231927394866943359e-01 5.858251824975013733e-02 5.391038060188293457e-01 1.763640940189361572e-01
7.981828451156616211e-01 2.752867639064788818e-01 4.988322257995605469e-01 4.508033394813537598e-01
2.878594100475311279e-01 6.167887449264526367e-01 2.087549865245819092e-01 4.474192857742309570e-01
5.722916126251220703e-01 8.129262924194335938e-01 1.203025458380579948e-03 2.041704719886183739e-03
6.210368871688842773e-01 1.056436002254486084e-01 7.006634473800659180e-01 2.444020956754684448e-01
2.000883966684341431e-01 2.258148640394210815e-01 2.327566891908645630e-01 2.557778656482696533e-01
7.091775536537170410e-01 7.513430714607238770e-01 1.506577879190444946e-01 2.541140913963317871e-01
1.854203790426254272e-01 3.517404496669769287e-01 9.996402263641357422e-01 5.555476527661085129e-04
1.502775549888610840e-01 7.320585250854492188e-01 5.487403273582458496e-01 3.352054357528686523e-01
3.004128336906433105e-01 9.778811931610107422e-01 3.405502438545227051e-01 4.931690543889999390e-02
7.998939752578735352e-01 6.051039695739746094e-01 8.069127798080444336e-01 3.171276152133941650e-01
3.418177962303161621e-01 6.268336176872253418e-01 9.277805089950561523e-01 1.822437345981597900e-01
9.694691896438598633e-01 3.260948657989501953e-01 4.823902621865272522e-02 1.235332619398832321e-02
